testid,t_x,t_y,p_x,p_y,error
1-26,26.16932500000001,64.530086,24.247308780152856,64.084208337234,1.9730568262240225
1-27,26.16932500000001,64.530086,26.51973038918917,64.084208337234,0.567089787358644
1-28,26.16932500000001,64.530086,26.8249666467766,61.83536848378576,2.773331653657701
1-29,26.16932500000001,64.530086,24.597173191822588,58.5244340632729,6.208020336070871
1-30,26.16932500000001,64.530086,26.8249666467766,64.1011822528459,0.7834694590797646
1-31,26.16932500000001,64.530086,26.51973038918917,64.084208337234,0.567089787358644
1-32,26.16932500000001,64.530086,26.148129788382974,64.62974875221343,0.10189161483776368
1-33,26.16932500000001,64.530086,24.55254503774029,64.26526492771578,1.6383246463049705
1-34,26.16932500000001,64.530086,24.55254503774029,64.26526492771578,1.6383246463049705
1-35,26.16932500000001,64.530086,26.8249666467766,64.26526492771578,0.7071040724770856
2-26,26.16932500000001,61.713816,26.098261400090436,62.419014494151156,0.7087700271492613
2-27,26.16932500000001,61.713816,24.31338666461457,61.32881922051948,1.8954497157570975
2-28,26.169325000000004,61.713816,25.198197658024085,61.76109749476713,0.9722776630575377
2-29,26.16932500000001,61.713816,22.953947383785874,62.235843595647886,3.2574784765933327
2-30,26.169325000000004,61.713816,25.836082947243398,61.96537742676536,0.4175325342553063
2-31,26.16932500000001,61.713816,25.957530900833397,62.12946010163525,0.46649411536049723
2-32,26.16932500000001,61.713816,24.072455790507995,62.60099725596772,2.2768291685271715
2-33,26.16932500000001,61.71381599999999,24.2107027942902,63.267952424746305,2.5003081752901655
2-34,26.16932500000001,61.713816,26.098261400090436,62.082841825675935,0.37580592763807313
2-35,26.16932500000001,61.713816,25.957530900833397,62.419014494151156,0.7363162748404071
3-26,22.200978999999997,64.154583,22.528734380886537,63.26940408588657,0.9439095823706395
3-27,22.200978999999997,64.154583,22.528734380886537,63.26940408588657,0.9439095823706395
3-28,22.200978999999997,64.154583,18.38427382261444,64.56401871861915,3.8386033943040925
3-29,22.200978999999997,64.154583,22.644260339285847,63.26940408588657,0.9899697246633814
3-30,22.200979,64.154583,22.836852130745644,58.060871217308275,6.126798342439569
3-31,22.200979,64.154583,22.644260339285847,63.26940408588657,0.9899697246633797
3-32,22.200979,64.154583,22.644260339285847,63.26940408588657,0.9899697246633797
3-33,22.200978999999997,64.154583,22.342391658100144,63.38686848479715,0.7806299486466702
3-34,22.200979,64.154583,21.365918529534934,63.06512415388834,1.3726786101284927
3-35,22.200979,64.154583,21.481444487934244,63.06512415388834,1.3056226451102395
4-26,21.823041,61.52606400000001,22.444376940760716,63.16970022256985,1.7571563343722871
4-27,21.823041,61.52606400000001,21.2873165236456,63.38686848479715,1.9363868531898085
4-28,21.823040999999996,61.52606400000001,22.46307587797225,63.38686848479715,1.96780028856134
4-29,21.823041,61.52606400000001,22.661536229528092,58.060871217308275,3.565197788504906
4-30,21.823041,61.52606400000001,22.644260339285847,63.26940408588657,1.927079619080653
4-31,21.823041,61.52606400000001,22.271470579409172,63.26326001825126,1.7941402101054067
4-32,21.823041,61.52606400000001,20.343259249163854,63.05898008625303,2.130630366253367
4-33,21.823041,61.52606400000001,21.180800172631297,57.54190419555711,4.035591979831181
4-34,21.823041,61.52606400000001,22.719479980681164,63.26940408588657,1.9603156636479844
4-35,21.823040999999996,61.52606400000001,22.921306851123525,63.356714266660966,2.1348227745107806
5-26,18.610570000000003,64.154583,18.30355614996671,63.60445841193224,0.6299956876907874
5-27,18.610570000000003,64.154583,18.036986614628677,63.749661472644114,0.7021106346511609
5-28,18.610570000000003,64.154583,18.37392443144456,63.60445841193224,0.5988640810013999
5-29,18.610570000000003,64.154583,17.807483458615874,63.13331935041145,1.2992026150386462
5-30,18.610570000000003,64.154583,17.630409329404642,63.13331935041145,1.4155191210834563
5-31,18.610570000000003,64.154583,20.265204603063047,63.18258855279892,1.9190072628948904
5-32,18.610570000000003,64.154583,17.630409329404642,63.40017847993401,1.2368674626159193
5-33,18.610570000000003,64.154583,14.846967005534601,63.50580381104165,3.8191127157985783
5-34,18.610570000000003,64.154583,21.237183673018706,63.38686848479715,2.7365096316552506
5-35,18.610570000000003,64.154583,17.807483458615874,63.47566362831792,1.0516080573091473
6-26,18.799539000000006,61.338313,15.44778303333654,53.1202373685646,8.875304791614566
6-27,18.799539000000006,61.33831299999999,15.947494346276132,62.99946085890098,3.300541003527494
6-28,18.799539000000006,61.338313,15.656710118089856,53.34870463712632,8.585523581766559
6-29,18.799539000000006,61.33831299999999,15.814497207084326,62.997378638546444,3.415109558778284
6-30,18.799539000000006,61.338313,15.66393377358034,62.86861523330145,3.4891037618846665
6-31,18.799539000000006,61.33831299999999,14.230857636275523,63.27733654247994,4.963130232175544
6-32,18.799539000000006,61.338313,14.325953906604873,55.75046998001583,7.157999245867029
6-33,18.799539000000006,61.338313,15.44778303333654,53.1202373685646,8.875304791614566
6-34,18.799539000000006,61.33831299999999,21.156991444781617,62.836656885326626,2.793316385249352
6-35,18.799539000000006,61.33831299999999,15.947494346276132,62.86861523330145,3.236662421705785
7-26,15.209129999999998,64.34233499999999,15.007955323226698,63.50580381104165,0.8603811252432815
7-27,15.209129999999998,64.34233499999999,15.01231336487275,64.06428312722961,0.3406605815381729
7-28,15.209129999999998,64.34233499999999,15.007955323226698,63.50580381104165,0.8603811252432815
7-29,15.209129999999995,64.34233499999999,15.007955323226698,63.50580381104165,0.8603811252432806
7-30,15.209129999999998,64.34233499999999,15.007955323226698,63.50580381104165,0.8603811252432815
7-31,15.209129999999998,64.34233499999999,11.72390751829864,62.65076502937589,3.8740398439450514
7-32,15.209129999999998,64.34233499999999,15.262579040787715,63.22832442381897,1.1152920531431678
7-33,15.209129999999998,64.34233499999999,15.01231336487275,63.67619927717187,0.6946031882237216
7-34,15.209129999999998,64.34233499999999,15.494916697752183,55.49451574624486,8.852433540204194
7-35,15.209129999999998,64.34233499999999,14.735799088781343,63.67619927717187,0.8171774303924629
8-26,15.020160999999998,61.526064,14.731441047135291,63.50580381104165,2.000682116330688
8-27,15.020160999999998,61.526064,14.731441047135291,63.50580381104165,2.000682116330688
8-28,15.020160999999998,61.52606400000001,14.91014153793084,63.282335839098,1.7597144810572611
8-29,15.020160999999998,61.52606400000001,13.06840062693257,64.38837883821142,3.4644212773451097
8-30,15.020160999999995,61.526064,14.43978472102884,63.40609994772493,1.9675801864042026
8-31,15.020160999999995,61.526064,14.43978472102884,63.40609994772493,1.9675801864042026
8-32,15.020160999999998,61.526064,14.731441047135291,63.50580381104165,2.000682116330688
8-33,15.020160999999998,61.526064,14.442500996143885,63.49991505707422,2.056642670851712
8-34,15.020160999999998,61.52606400000001,15.007955323226698,63.40609994772493,1.8800755685034134
8-35,15.020160999999998,61.52606400000001,14.150844670037433,63.49991505707422,2.1568029295817794
9-26,10.862846000000001,64.154583,14.894124508802731,55.75046998001583,9.320961434755658
9-27,10.862846,64.154583,15.314785894144734,53.2490007738096,11.7792823428797
9-28,10.862846,64.154583,14.666031099281575,63.40609994772493,3.8761377399339687
9-29,10.862846,64.154583,14.097860497083717,63.40609994772493,3.3204737125724733
9-30,10.862846000000005,64.154583,11.23947206578211,62.55106116605917,1.6471579964749814
9-31,10.862846000000005,64.154583,10.81381269215566,62.55106116605917,1.6042713415139993
9-32,10.862846000000005,64.154583,11.105469018262111,62.55106116605917,1.6217731656787218
9-33,10.862846000000001,64.154583,14.389516823190169,63.40609994772493,3.6052231518567366
9-34,10.862846000000001,64.154583,15.15299247380706,55.39481188292814,9.753919560371903
9-35,10.862846,64.154583,14.666031099281575,63.40609994772493,3.8761377399339687
10-26,11.051815,60.96281,13.342076057142027,59.047214870067506,2.98576630225515
10-27,11.051815,60.96281000000001,13.342076057142027,59.047214870067506,2.9857663022551595
10-28,11.051815,60.96281,12.757501378763715,57.87331810587389,3.529068742114694
10-29,11.051815,60.96281,13.342076057142027,59.047214870067506,2.98576630225515
10-30,11.051815,60.96281,13.301007598960204,58.84293493806928,3.0907503337236957
10-31,11.051815,60.96281,12.536726845697736,60.99028444116212,1.4851659955744436
10-32,11.051815,60.96281,13.342076057142027,58.94751100675079,3.0506926659453253
10-33,11.051815,60.96281,10.549178929445464,57.987896156403515,3.0170772937139843
10-34,11.051815,60.96281,10.549178929445464,57.987896156403515,3.0170772937139843
10-35,11.051815,60.96281,12.843557416615772,57.00885178986433,4.340982194734202
11-26,9.351095,58.89754599999999,9.364498375289235,59.262050816329165,0.364751163940992
11-27,9.351095,58.89754599999999,8.076647060757072,59.08753742859272,1.2885318361527796
11-28,9.351095,58.897546,10.964354705932816,58.57214724239472,1.6457494433350093
11-29,9.351095,58.897546,12.469980723735759,59.18162423811894,3.1317963859573448
11-30,9.351095,58.897546,9.388557551526164,56.05271935728286,2.8450732978044893
11-31,9.351095,58.89754600000001,9.253083184338285,57.71710846072896,1.184499514617717
11-32,9.351095,58.89754600000001,8.12199068306441,57.71710846072896,1.704150875371663
11-33,9.351095,58.897546,8.288869944414985,55.89009123471132,3.189530723158215
11-34,9.351095,58.89754600000001,16.008253070443992,57.24697806202699,6.8587264191497015
11-35,9.351095,58.89754600000001,12.832581686521845,58.16342593321623,3.5580446625757065
12-26,9.162126,54.76701600000001,9.52011845080783,51.81827087286132,2.9703966771560295
12-27,9.162126,54.76701600000001,11.747806021896166,54.459452647864026,2.603907907590066
12-28,9.162126,54.76701600000001,9.90112933086215,51.98457458926403,2.8789071063866936
12-29,9.162126,54.76701600000001,8.922234052875817,53.88696070747384,0.9121652614512128
12-30,9.162126,54.76701600000001,11.246121009078296,54.090138462736626,2.1911637086979585
12-31,9.162126,54.76701600000001,9.309185060879194,54.72318377173228,0.15345237574434933
12-32,9.162126,54.76701600000001,8.684637860130806,51.546231455251935,3.2559864875953997
12-33,9.162126,54.76701600000001,7.872251943259523,53.54597588586215,1.7761514694940699
12-34,9.162126,54.76701600000001,9.373500150520304,52.78041938803513,1.997810083611187
12-35,9.162126,54.76701600000001,6.778309002091787,56.421478294904226,2.901694154244352
13-26,9.351095,50.636487,9.097194314526384,49.27637358529417,1.38360907013026
13-27,9.351095,50.636487,9.153851324520367,51.86153769737039,1.24082806167671
13-28,9.351094999999997,50.636487,8.565600092914536,50.19863067356691,0.8992888366118414
13-29,9.351094999999997,50.636487,8.879483277211497,49.65568222688381,1.0882994165389595
13-30,9.351095,50.636487,8.812673309197226,50.68194746121617,0.5403374599830232
13-31,9.351095,50.636487,8.390131001628426,52.780734944777684,2.3497342519633144
13-32,9.351095,50.636487,9.614340048480617,47.906515928912256,2.7426337714914726
13-33,9.351094999999997,50.636487,9.097194314526384,49.05899929723936,1.597790039537429
