testid,t_x,t_y,p_x,p_y,error
1-26,26.16932500000001,64.530086,26.16932500000001,64.530086,0.0
1-27,26.16932500000001,64.530086,26.16932500000001,64.530086,0.0
1-28,26.16932500000001,64.530086,26.16932500000001,64.530086,0.0
1-29,26.16932500000001,64.530086,26.16932500000001,64.530086,0.0
1-30,26.16932500000001,64.530086,26.16932500000001,64.530086,0.0
1-31,26.16932500000001,64.530086,26.16932500000001,64.530086,0.0
1-32,26.16932500000001,64.530086,26.16932500000001,64.530086,0.0
1-33,26.16932500000001,64.530086,26.16932500000001,64.530086,0.0
1-34,26.16932500000001,64.530086,26.16932500000001,64.530086,0.0
1-35,26.16932500000001,64.530086,26.16932500000001,64.530086,0.0
2-26,26.16932500000001,61.713816,26.16932500000001,61.71381599999997,2.842170943040401e-14
2-27,26.16932500000001,61.713816,26.16932500000001,61.71381599999997,2.842170943040401e-14
2-28,26.169325000000004,61.713816,26.16932500000001,61.71381599999997,2.929642751054232e-14
2-29,26.16932500000001,61.713816,26.962994333333334,57.35798446666667,4.427547781498778
2-30,26.169325000000004,61.713816,26.16932500000001,61.71381599999997,2.929642751054232e-14
2-31,26.16932500000001,61.713816,26.16932500000001,61.71381599999997,2.842170943040401e-14
2-32,26.16932500000001,61.713816,26.16932500000001,61.90156733333331,0.18775133333330984
2-33,26.16932500000001,61.71381599999999,24.884337000000002,61.55527013333332,1.2947320000606717
2-34,26.16932500000001,61.713816,26.16932500000001,61.71381599999997,2.842170943040401e-14
2-35,26.16932500000001,61.713816,26.16932500000001,61.71381599999997,2.842170943040401e-14
3-26,22.200978999999997,64.154583,22.125391399999998,63.62887920000001,0.5311101303950008
3-27,22.200978999999997,64.154583,22.10019553333333,63.453644600000004,0.7081468405266725
3-28,22.200978999999997,64.154583,16.796468866666665,60.286905333333344,6.6458754362788595
3-29,22.200978999999997,64.154583,21.94902033333333,62.402237000000014,1.7703671013166744
3-30,22.200979,64.154583,22.263968466666665,62.0058732,2.1496328704053136
3-31,22.200979,64.154583,22.175783133333333,63.979348400000006,0.17703671013166475
3-32,22.200979,64.154583,22.024607933333325,62.92794080000001,1.2392569709216747
3-33,22.200978999999997,64.154583,21.8860308,63.62887920000001,0.6128269364328502
3-34,22.200979,64.154583,21.873432866666658,63.26589326666667,0.9471303561779065
3-35,22.200979,64.154583,21.94902033333333,62.402237000000014,1.770367101316675
4-26,21.823041,61.52606400000001,22.150587266666665,63.8041138,2.3014772317116825
4-27,21.823041,61.52606400000001,21.571082599999997,63.10317540000001,1.5971109552377758
4-28,21.823040999999996,61.52606400000001,21.596278466666664,63.27841000000001,1.7669572010209347
4-29,21.823041,61.52606400000001,22.389947666666664,61.49268613333334,0.5678884139461964
4-30,21.823041,61.52606400000001,22.024607933333332,62.92794080000001,1.416293681053345
4-31,21.823041,61.52606400000001,23.032441999999996,60.93777660000001,1.3448913873617296
4-32,21.823041,61.52606400000001,25.312666066666665,57.70010893333335,5.178360288552802
4-33,21.823041,61.52606400000001,20.601042466666666,58.51787046666667,3.246922966357124
4-34,21.823041,61.52606400000001,23.32219406666667,62.69012253333334,1.8980232312388083
4-35,21.823040999999996,61.52606400000001,26.16932500000001,63.77908066666665,4.895535589589129
5-26,18.610570000000003,64.154583,18.61057,64.154583,3.552713678800501e-15
5-27,18.610570000000003,64.154583,18.61057,64.154583,3.552713678800501e-15
5-28,18.610570000000003,64.154583,18.61057,64.154583,3.552713678800501e-15
5-29,18.610570000000003,64.154583,18.61057,64.154583,3.552713678800501e-15
5-30,18.610570000000003,64.154583,18.61057,64.154583,3.552713678800501e-15
5-31,18.610570000000003,64.154583,18.824734733333333,63.979348400000006,0.2767195295617841
5-32,18.610570000000003,64.154583,18.61057,64.154583,3.552713678800501e-15
5-33,18.610570000000003,64.154583,15.209129999999995,64.34233500000002,3.406617807606844
5-34,18.610570000000003,64.154583,18.849930599999997,64.154583,0.23936059999999415
5-35,18.610570000000003,64.154583,18.61057,64.154583,3.552713678800501e-15
6-26,18.799539000000006,61.338313,14.856388333333333,62.852840466666656,4.224006466297317
6-27,18.799539000000006,61.33831299999999,19.479827000000004,61.90156699999998,0.8832025993281389
6-28,18.799539000000006,61.338313,13.798162466666664,63.64139640000001,5.506174749817977
6-29,18.799539000000006,61.33831299999999,18.799539000000003,61.33831299999998,1.464821375527116e-14
6-30,18.799539000000006,61.338313,18.270426133333338,61.526064333333316,0.5614365403504283
6-31,18.799539000000006,61.33831299999999,10.862846,64.154583,8.42154810525649
6-32,18.799539000000006,61.338313,10.837650133333334,62.927941000000004,8.119026512060096
6-33,18.799539000000006,61.338313,14.856388333333333,62.852840466666656,4.224006466297317
6-34,18.799539000000006,61.33831299999999,20.966382199999998,62.51488793333333,2.465671922039618
6-35,18.799539000000006,61.33831299999999,18.799539000000003,61.33831299999998,1.464821375527116e-14
7-26,15.209129999999998,64.34233499999999,15.209129999999995,64.34233500000002,2.864289338439558e-14
7-27,15.209129999999998,64.34233499999999,15.209129999999995,64.34233500000002,2.864289338439558e-14
7-28,15.209129999999998,64.34233499999999,15.209129999999995,64.34233500000002,2.864289338439558e-14
7-29,15.209129999999995,64.34233499999999,15.209129999999995,64.34233500000002,2.842170943040401e-14
7-30,15.209129999999998,64.34233499999999,15.209129999999995,64.34233500000002,2.864289338439558e-14
7-31,15.209129999999998,64.34233499999999,14.931975666666663,64.11703333333335,0.3571769386287567
7-32,15.209129999999998,64.34233499999999,15.183934133333329,63.966832200000006,0.37634715955473025
7-33,15.209129999999998,64.34233499999999,15.209129999999995,64.34233500000002,2.864289338439558e-14
7-34,15.209129999999998,64.34233499999999,13.9871312,59.22298086666668,5.263180389239787
7-35,15.209129999999998,64.34233499999999,15.133542399999998,63.21582660000002,1.1290414786642045
8-26,15.020160999999998,61.526064,15.020161,61.52606400000001,1.432144669219779e-14
8-27,15.020160999999998,61.526064,15.020161,61.52606400000001,1.432144669219779e-14
8-28,15.020160999999998,61.52606400000001,15.020161,61.52606400000001,1.7763568394002505e-15
8-29,15.020160999999998,61.52606400000001,14.503646133333332,61.63871486666667,0.5286566231954657
