testid,t_x,t_y,p_x,p_y,error
1-26,26.16932500000001,64.530086,24.792863282836162,58.313023123950785,6.367614754644548
1-27,26.16932500000001,64.530086,24.70883566573799,57.745329599138714,6.940169199271821
1-28,26.16932500000001,64.530086,26.453990713213877,54.58844098425713,9.945719691773165
1-29,26.16932500000001,64.530086,26.246224565831536,48.39185798456208,16.138411229780033
1-30,26.16932500000001,64.530086,26.470927416846987,54.46209604855543,10.072506424929035
1-31,26.16932500000001,64.530086,24.678699724598953,58.26148481694662,6.443393865335463
1-32,26.16932500000001,64.530086,25.732899030693822,56.024576629577204,8.516698731141943
1-33,26.16932500000001,64.530086,26.622160182537552,54.832553039345925,9.70809998019777
1-34,26.16932500000001,64.530086,26.60062533521173,54.80045213264259,9.739188630064724
1-35,26.16932500000001,64.530086,26.57356954466195,55.17971505218317,9.359105219713362
2-26,26.16932500000001,61.713816,24.52540075808818,61.193546926448796,1.7242873374351573
2-27,26.16932500000001,61.713816,18.688095963990754,64.27334011533164,7.906955898839463
2-28,26.169325000000004,61.713816,20.43796295581739,60.743127067014115,5.812980981055967
2-29,26.16932500000001,61.713816,21.409006626904517,58.722157264778126,5.622335191115866
2-30,26.169325000000004,61.713816,24.382347194128393,61.28108626727925,1.8386257640581163
2-31,26.16932500000001,61.713816,24.44919162449083,61.41260249851547,1.7463070758080275
2-32,26.16932500000001,61.713816,20.443862786883958,60.61567712127311,5.829822171455261
2-33,26.16932500000001,61.71381599999999,27.036810986717555,55.83683947226496,5.940655270649841
2-34,26.16932500000001,61.713816,24.32854071266929,61.37426157570347,1.8718397366075483
2-35,26.16932500000001,61.713816,24.492289967252635,61.46078603947663,1.6960161148952722
3-26,22.200978999999997,64.154583,22.672408154600085,64.67347235657617,0.7010646276734996
3-27,22.200978999999997,64.154583,22.668281989137743,64.65586706420895,0.6853158371779474
3-28,22.200978999999997,64.154583,18.475646397599753,64.17764765757937,3.7254040018413335
3-29,22.200978999999997,64.154583,22.620956164996713,64.55444278599009,0.5798867713361964
3-30,22.200979,64.154583,22.2929340882346,58.26115523301082,5.894145110444037
3-31,22.200979,64.154583,22.763677447395153,64.72261701624848,0.7995574940654918
3-32,22.200979,64.154583,22.624802919306894,64.63172013047426,0.6381900624844211
3-33,22.200978999999997,64.154583,22.727093138213426,64.67780397939677,0.7419947976293185
3-34,22.200979,64.154583,18.898447684545076,64.01136984562967,3.305635052020282
3-35,22.200979,64.154583,18.837460249635438,64.00705655619677,3.3667525058541528
4-26,21.823041,61.52606400000001,22.756697197439816,64.34777243150631,2.9721629106513543
4-27,21.823041,61.52606400000001,22.534621317172373,64.77504835082075,3.3259954689784546
4-28,21.823040999999996,61.52606400000001,22.605492392188474,64.6647721169312,3.2347671978718084
4-29,21.823041,61.52606400000001,22.33249564662446,58.17453024819834,3.3900328208489463
4-30,21.823041,61.52606400000001,22.634726293626187,64.6055211197936,3.1846332863512568
4-31,21.823041,61.52606400000001,25.605988378613155,58.66587371239072,4.742507706972195
4-32,21.823041,61.52606400000001,21.78032650781268,58.18675191099932,3.339585267003822
4-33,21.823041,61.52606400000001,21.478343974638495,55.17852728135647,6.35688905313134
4-34,21.823041,61.52606400000001,22.518766862059508,64.54508381773614,3.0981470486440665
4-35,21.823040999999996,61.52606400000001,22.502790534081438,64.59834705756603,3.1465826883924626
5-26,18.610570000000003,64.154583,22.63140764802965,68.95956530782165,6.265380305319991
5-27,18.610570000000003,64.154583,22.737670890793282,68.92891007122607,6.310876384926959
5-28,18.610570000000003,64.154583,22.516964049234055,69.09594273566302,6.29896424066075
5-29,18.610570000000003,64.154583,18.685452219492223,68.44459219172074,4.290662677471224
5-30,18.610570000000003,64.154583,18.69324951937733,68.31582161401212,4.1620599113503856
5-31,18.610570000000003,64.154583,19.14926878625019,64.8459802262604,0.8764853146447966
5-32,18.610570000000003,64.154583,18.703998308835736,68.27881280821221,4.125287912356906
5-33,18.610570000000003,64.154583,15.417538023170946,60.95653113563473,4.519180117258339
5-34,18.610570000000003,64.154583,23.12291163663552,65.67198586889276,4.760644758038399
5-35,18.610570000000003,64.154583,18.660678213589428,68.37260825876814,4.218322879614021
6-26,18.799539000000006,61.338313,14.271213851023031,50.38051262842012,11.856606497571448
6-27,18.799539000000006,61.33831299999999,15.332565549334392,59.74937534565163,3.813741965186727
6-28,18.799539000000006,61.338313,14.290696381361347,50.83896618907998,11.426545637927005
6-29,18.799539000000006,61.33831299999999,15.324388249222066,59.76365774900205,3.8152603974208468
6-30,18.799539000000006,61.338313,15.320211583377125,59.56202109734993,3.906524311390353
6-31,18.799539000000006,61.33831299999999,15.355458334232871,59.97801731916773,3.7029847382350756
6-32,18.799539000000006,61.338313,15.105727718078104,54.10147622343682,8.125026050239525
6-33,18.799539000000006,61.338313,14.267671572779701,50.29715743557288,11.935029894213939
6-34,18.799539000000006,61.33831299999999,18.88841628248743,63.40173113016543,2.06533134175555
6-35,18.799539000000006,61.33831299999999,15.318484452149848,59.62473242758997,3.879961229606468
7-26,15.209129999999998,64.34233499999999,15.44065265143239,61.018137830781995,3.3322499242948784
7-27,15.209129999999998,64.34233499999999,14.982159545822979,64.4541592010321,0.25302221049898255
7-28,15.209129999999998,64.34233499999999,15.421877855186331,60.851947273366456,3.4968654724081687
7-29,15.209129999999995,64.34233499999999,15.43126525330936,60.93504255207422,3.414525720573034
7-30,15.209129999999998,64.34233499999999,15.450040049555419,61.10123310948977,3.250042940738742
7-31,15.209129999999998,64.34233499999999,11.781055882194151,60.56711698160662,5.099408126790043
7-32,15.209129999999998,64.34233499999999,13.351683824048148,54.98055688960075,9.54426506782521
7-33,15.209129999999998,64.34233499999999,14.99772168889963,64.45434607796682,0.23924873163634733
7-34,15.209129999999998,64.34233499999999,13.832203275751935,54.274987559330086,10.16107335349526
7-35,15.209129999999998,64.34233499999999,14.943519509876888,64.02004844752355,0.4176332773745277
8-26,15.020160999999998,61.526064,15.38840224345225,60.47762864797227,1.111223785184952
8-27,15.020160999999998,61.526064,15.39778964157528,60.56072392668004,1.03657360958852
8-28,15.020160999999998,61.52606400000001,14.999698322488468,64.0645560915283,2.5385745645780458
