,testid,timestamp,interval,t_building,t_floor,t_x,t_y,beacon_id,b_major,b_minor,b_floor,b_x,b_y,shapiro,mean,dev
0,2,0000-01-01 00:00:00,0,31,1.0,15.6973,18.69581,A0:E6:F8:69:8E:63,1000,500,2.0,29.22119240943289,32.517628184836234,0.5493269562721252,-95.4,1.624807680927192
1,2,0000-01-01 00:00:00,0,31,1.0,15.6973,18.69581,A0:E6:F8:69:A1:C7,1000,539,1.0,10.476580637792203,7.495236031035186,0.014015186578035355,-89.75,2.6496855159307744
2,3,0000-01-01 00:00:00,0,31,1.0,12.859617,8.579143,A0:E6:F8:69:A1:C7,1000,539,1.0,10.476580637792203,7.495236031035186,0.20182321965694427,-71.72727272727273,3.7921188390207656
3,3,0000-01-01 00:00:00,0,31,1.0,12.859617,8.579143,A0:E6:F8:69:F8:F5,1000,555,2.0,12.041060512051926,12.588790468810554,0.2453673779964447,-97.36363636363636,2.1007672742347894
4,3,0000-01-01 00:00:00,0,31,1.0,12.859617,8.579143,A0:E6:F8:69:F9:A1,1000,552,1.0,8.252173096444572,26.403657531747374,0.00808617565780878,-90.5,3.068658773253661
5,5,0000-01-01 00:00:00,0,31,1.0,4.0127239999999995,0.6184839999999999,A0:E6:F8:69:F9:A1,1000,552,1.0,8.252173096444572,26.403657531747374,0.10100335627794266,-97.2,2.8213471959331766
6,5,0000-01-01 00:00:00,0,31,1.0,4.0127239999999995,0.6184839999999999,A0:E6:F8:69:A1:C7,1000,539,1.0,10.476580637792203,7.495236031035186,0.12177529186010361,-78.25,1.5877132402714709
7,7,0000-01-01 00:00:00,0,31,1.0,27.548797999999998,34.119584,A0:E6:F8:69:F4:0D,1000,575,1.0,29.50762144674296,28.859295811423603,0.1781902313232422,-81.6,2.8000000000000003
8,8,0000-01-01 00:00:00,0,31,1.0,28.550332,53.800096999999994,A0:E6:F8:69:F4:0D,1000,575,1.0,29.50762144674296,28.859295811423603,0.09481634199619293,-95.92307692307692,3.8322826791018927
9,9,0000-01-01 00:00:00,0,31,1.0,24.210347,54.795178,A0:E6:F8:69:F8:88,1000,531,1.0,26.04743432077296,66.67614347374641,0.12257235497236252,-95.18181818181819,3.1281182789245916
10,11,0000-01-01 00:00:00,0,31,1.0,18.368059,56.287802,A0:E6:F8:69:9B:27,1000,514,1.0,7.757860905176678,59.80035305021886,0.41450485587120056,-93.81818181818181,2.208174145725658
11,12,0000-01-01 00:00:00,0,31,1.0,17.867292000000003,43.020041,A0:E6:F8:69:F5:73,1000,511,1.0,7.757860905176678,43.34756805360252,0.38673079013824463,-92.63636363636364,3.523240431832018
12,12,0000-01-01 00:00:00,0,31,1.0,17.867292000000003,43.020041,A0:E6:F8:69:9B:27,1000,514,1.0,7.757860905176678,59.80035305021886,0.03560715913772583,-92.36363636363636,3.3648646406039537
13,13,0000-01-01 00:00:00,0,31,1.0,10.355779,62.313577,A0:E6:F8:69:F5:73,1000,511,1.0,7.757860905176678,43.34756805360252,0.21856337785720825,-94.36363636363636,5.756778254177296
